date,time,speedKPH,rpm,batteryVoltage,batteryPercentage,windSpeed,temp
"06 Feb, 2025",01:13 PM,1,92,339.97,99,4,20.4
"06 Feb, 2025",01:13 PM,2,172,340.17,99,5,20.9
"06 Feb, 2025",01:13 PM,4,301,340.0,99,5,21.3
"06 Feb, 2025",01:13 PM,5,381,340.18,99,5,21.7
"06 Feb, 2025",01:13 PM,5,447,339.84,99,5,21.9
"06 Feb, 2025",01:13 PM,7,586,339.97,99,6,22.2
"06 Feb, 2025",01:13 PM,9,680,339.91,99,5,22.7
"06 Feb, 2025",01:13 PM,10,770,339.86,99,6,23.0
"06 Feb, 2025",01:13 PM,10,815,339.9,99,6,23.4
"06 Feb, 2025",01:13 PM,11,875,340.07,99,6,23.7
"06 Feb, 2025",01:13 PM,13,1017,339.8,99,6,23.8
"06 Feb, 2025",01:13 PM,14,1080,339.91,99,6,24.1
"06 Feb, 2025",01:13 PM,15,1197,339.86,99,6,24.4
"06 Feb, 2025",01:13 PM,16,1274,339.9,99,6,24.8
"06 Feb, 2025",01:13 PM,18,1419,340.09,99,5,25.1
"06 Feb, 2025",01:13 PM,20,1569,340.05,99,5,25.5
"06 Feb, 2025",01:13 PM,22,1681,339.8,99,5,25.7
"06 Feb, 2025",01:13 PM,23,1766,339.91,99,5,25.9
"06 Feb, 2025",01:13 PM,24,1820,339.95,99,5,26.3
"06 Feb, 2025",01:13 PM,25,1884,340.15,99,5,26.6
"06 Feb, 2025",01:13 PM,25,1945,339.94,99,5,26.7
"06 Feb, 2025",01:13 PM,26,2009,340.03,99,5,27.2
"06 Feb, 2025",01:13 PM,28,2129,340.04,99,5,27.3
"06 Feb, 2025",01:13 PM,29,2222,339.94,99,5,27.5
"06 Feb, 2025",01:13 PM,30,2302,340.0,99,5,27.8
"06 Feb, 2025",01:13 PM,32,2441,340.14,99,5,28.3
"06 Feb, 2025",01:13 PM,34,2577,339.88,99,6,28.4
"06 Feb, 2025",01:13 PM,36,2701,339.87,99,5,28.6
"06 Feb, 2025",01:13 PM,37,2807,339.97,99,5,29.0
"06 Feb, 2025",01:13 PM,38,2884,340.06,99,5,29.1
"06 Feb, 2025",01:13 PM,39,2981,340.11,99,5,29.5
"06 Feb, 2025",01:13 PM,40,3000,340.06,99,6,29.8
"06 Feb, 2025",01:13 PM,40,3000,340.2,99,6,30.0
"06 Feb, 2025",01:13 PM,40,3000,340.03,99,7,30.1
"06 Feb, 2025",01:13 PM,40,3000,339.82,99,6,30.2
"06 Feb, 2025",01:13 PM,40,3000,339.92,99,6,30.1
"06 Feb, 2025",01:14 PM,40,3000,340.11,99,6,30.0
"06 Feb, 2025",01:14 PM,40,3000,339.86,99,6,29.9
"06 Feb, 2025",01:14 PM,40,3000,340.14,99,5,30.2
"06 Feb, 2025",01:14 PM,40,3000,339.94,99,5,30.1
"06 Feb, 2025",01:14 PM,40,3000,339.81,99,6,30.1
"06 Feb, 2025",01:14 PM,40,3000,339.85,99,6,30.2
"06 Feb, 2025",01:14 PM,40,3000,339.97,99,6,30.1
"06 Feb, 2025",01:14 PM,40,3000,340.16,99,6,30.1
"06 Feb, 2025",01:14 PM,40,3000,340.06,99,6,30.1
"06 Feb, 2025",01:14 PM,40,3000,340.13,99,7,30.1
"06 Feb, 2025",01:14 PM,40,3000,339.91,99,7,30.0
"06 Feb, 2025",01:14 PM,40,3000,339.86,99,7,30.4
